コンポーネント,使用テクノロジー,主な役割・機能,選択理由・利点,現在のステータス,情報源
オーケストレーター,Groq (llama-3.3-70b),ユーザーからのメッセージを適切な専門エージェントへルーティングする,ルーティング判断に高い推論能力は不要であり、200msという高速なレスポンスが求められたため,稼働中,[1]
専門エージェント (Specialist Agents),Claude 3.5 Sonnet,各分野（数学、言語、データ、戦略）における高度な解説と指導,単一のプロンプトよりも高い精度を出すため。高い知能レベルとドメイン知識が必要なため,稼働中,[1]
長期メモリーシステム,Memory Agent + Supabase (JSON field),セッション後にトランスクリプトから学習者のプロファイルを抽出し保存する,生の会話履歴を保存するとコンテキストが肥大化し性能が低下するため、構造化したプロファイル（弱点、効果的な手法等）のみを抽出する,稼働中,[1]
RAG パイプライン,"Pinecone, @xenova/transformers (embeddings)",公式GMAT教材からの知識検索と提供,ローカルでの埋め込み実行によりAPIコストを削減。7つの名前空間で知識を整理,スクリプト準備完了、データ未投入,[1]
データセット,"deepmind/aqua_rat, allenai/math_qa, mister-teddy/gmat-database, ReClor, Manhattan Review PDFs",練習問題と解説、戦略ガイドの提供,無料で高品質なGMATスタイルの問題が大量に利用可能（例：aqua_ratは9.7万問）なため,取得済み,[1]
音声認識・合成,"Deepgram, ElevenLabs",音声からテキストへの変換（STT）およびテキストから音声への変換（TTS）,自然な音声対話を実現するため,API設定済み、本番テスト待ち,[1]
学習アルゴリズム,FSRS (Free Spaced Repetition Scheduler),忘却曲線に基づいた練習問題のスケジュール管理,Ankiでも使用される実績のあるアルゴリズムで、ユーザーの弱点を自動で優先するため,実装済み,[1]
インフラストラクチャ (Backend),Railway,永続的なコンテナの実行（エージェントの処理）,Vercelのサーバーレス関数の時間制限（800秒）を回避し、長時間の音声セッションを維持するため,稼働中,[1]
フロントエンド / ホスティング,Next.js / Vercel,UIの提供とWebアプリケーションのホスティング,Web開発における標準的なスタックとして採用,稼働中,[1]
決済システム,Paddle,支払処理および税務対応,Merchant of Recordとして米国50州の売上税管理やチャージバック対応を自動化できるため,稼働中,[1]
